Date,DPIS
2020/9/8,-1.208937284
2020/9/9,-1.588572428
2020/9/10,-1.509846246
2020/9/11,-1.169411106
2020/9/14,-1.369767936
2020/9/15,-0.875788075
2020/9/16,-0.469508553
2020/9/17,-1.675346175
2020/9/18,-0.042915054
2020/9/21,-0.861611513
2020/9/22,-1.314939304
2020/9/23,-0.19500491
2020/9/24,-1.142307442
2020/9/25,-0.542638867
2020/9/28,0.275091008
2020/9/29,0.831601618
2020/9/30,0.689238439
2020/10/9,-0.296398148
2020/10/12,-1.271965512
2020/10/13,-0.042915054
2020/10/14,1.229109196
2020/10/15,-0.137457397
2020/10/16,-0.360921117
2020/10/19,0.394343282
2020/10/20,-0.042915054
2020/10/21,0.3292197
2020/10/22,-0.182837722
2020/10/23,-0.7849292
2020/10/26,1.900455328
2020/10/27,1.006504952
2020/10/28,-0.128233754
2020/10/29,0.456808758
2020/10/30,1.487489122
2020/11/2,-1.699894012
2020/11/3,1.57814024
2020/11/4,0.190289392
2020/11/5,-0.515626769
2020/11/6,0.069925807
2020/11/9,-0.542638867
2020/11/10,1.123107175
2020/11/11,0.501228653
2020/11/12,-0.182837722
2020/11/13,0.234709286
2020/11/16,-1.302219062
2020/11/17,0.345759022
2020/11/18,-0.392721723
2020/11/19,0.618881346
2020/11/20,0.077707935
2020/11/23,0.831601618
2020/11/24,0.141193719
2020/11/25,0.574390832
2020/11/26,0.764331105
2020/11/27,-1.57331923
2020/11/30,-0.227023827
2020/12/1,1.614063903
2020/12/2,2.540990206
2020/12/3,-1.107544046
2020/12/4,0.006353491
2020/12/7,-0.542638867
2020/12/8,-0.392721723
2020/12/9,-0.372921346
2020/12/10,0.683098787
2020/12/11,-0.042915054
2020/12/14,0.109174802
2020/12/15,-0.042915054
2020/12/16,1.865121321
2020/12/17,1.955980196
2020/12/18,1.186135404
2020/12/21,-0.148917075
2020/12/22,-0.572925158
2020/12/23,-0.625926169
2020/12/24,-0.311997107
2020/12/25,0.764331105
2020/12/28,2.248921742
2020/12/29,0.972652694
2020/12/30,0.376852948
2020/12/31,0.376852948
2021/1/4,-0.803364334
2021/1/5,1.397465347
2021/1/6,0.031511897
2021/1/7,0.618881346
2021/1/8,1.042691849
2021/1/11,-0.120649869
2021/1/12,0.363836886
2021/1/13,1.22234311
2021/1/14,-0.042915054
2021/1/15,1.656145909
2021/1/18,1.123107175
2021/1/19,-0.11430417
2021/1/20,-0.636926379
2021/1/21,-0.220782852
2021/1/22,0.355598872
2021/1/25,0.764331105
2021/1/26,-0.996933242
2021/1/27,0.618881346
2021/1/28,-0.128233754
2021/1/29,0.985928089
2021/2/1,-1.331676466
2021/2/2,-0.875788075
2021/2/3,0.345759022
2021/2/4,0.097007613
2021/2/5,0.368622203
2021/2/8,-1.388325319
2021/2/9,-0.108916312
2021/2/10,0.025674489
2021/2/18,2.540990206
2021/2/19,0.025674489
2021/2/22,0.593097071
2021/2/23,-1.542086492
2021/2/24,-0.742528392
2021/2/25,2.316246201
2021/2/26,0.61297245
2021/3/1,2.131558833
2021/3/2,-0.120649869
2021/3/3,0.626927503
2021/3/4,-1.331676466
2021/3/5,1.064068075
2021/3/8,2.170147545
2021/3/9,-0.399860635
2021/3/10,0.895590643
2021/3/11,1.236865442
2021/3/12,-1.058482802
2021/3/15,-0.685417099
2021/3/16,-0.163538043
2021/3/17,0.405555034
2021/3/18,-0.311997107
2021/3/19,-1.100470099
2021/3/22,0.456808758
2021/3/23,-0.469508553
2021/3/24,-0.248683683
2021/3/25,0.077707935
2021/3/26,0.638526508
2021/3/29,1.789405592
2021/3/30,-0.949821233
2021/3/31,-0.431589131
2021/4/1,0.911103134
2021/4/2,0.456808758
2021/4/6,0.456808758
2021/4/7,1.520050913
2021/4/8,-0.431589131
2021/4/9,2.540990206
2021/4/12,0.456808758
2021/4/13,-0.2761195
2021/4/14,0.097007613
2021/4/15,-0.148917075
2021/4/16,1.123107175
2021/4/19,-0.742528392
2021/4/20,-0.810783352
2021/4/21,-0.10026041
2021/4/22,1.481883246
2021/4/23,0.118534178
2021/4/26,-0.342749342
2021/4/27,1.397465347
2021/4/28,2.540990206
2021/4/29,1.865121321
2021/4/30,0.717534226
2021/5/6,-0.042915054
2021/5/7,-0.042915054
2021/5/10,1.70611829
2021/5/11,-0.469508553
2021/5/12,-2.020083182
2021/5/13,-0.66022094
2021/5/14,2.540990206
2021/5/17,2.540990206
